domain,remote name resolution,local name resolution remote rpc,local name resolution local rpc,remote ipfs gateway,local ipfs gateway
givenow.crypto,0.1531662940979004,0.17985296249389648,0.0335235595703125,0.1288917064666748,2.655590295791626
123412341234123412341234.crypto,0.1345677375793457,0.05087995529174805,0.025178909301757812,0.16367602348327637,1.018784999847412
reseller-test-don9.crypto,0.1319594383239746,0.04614520072937012,0.015519857406616211,0.18371343612670898,-1
reseller-test-don7.crypto,0.1567094326019287,0.0554654598236084,0.03221321105957031,0.38787031173706055,0.7856900691986084
addictedto.crypto,0.17236781120300293,0.0498807430267334,0.015958786010742188,0.4371199607849121,0.46073365211486816
evilmorty.crypto,0.14986371994018555,0.051470279693603516,0.021220684051513672,0.4577674865722656,0.7191746234893799
ihodler.crypto,0.12331318855285645,0.05027341842651367,0.017521142959594727,0.5528557300567627,0.7610814571380615
concepts.crypto,0.1406407356262207,0.06679797172546387,0.0220949649810791,0.5131363868713379,0.6732354164123535
flatearther.crypto,0.13023114204406738,0.04937171936035156,0.01393270492553711,0.40328216552734375,0.5619561672210693
leveragex.crypto,0.1374034881591797,0.04717087745666504,0.015035629272460938,0.41019415855407715,1.2507615089416504
cbdhempuk.crypto,0.1233980655670166,0.09601092338562012,0.024309158325195312,0.31771135330200195,0.8947577476501465
decentralizeeverything.crypto,0.15172028541564941,0.04898476600646973,0.023321866989135742,0.2212841510772705,0.6572275161743164
i-coins.crypto,0.13120603561401367,0.05054426193237305,0.02349376678466797,0.5097060203552246,0.890599250793457
ico.crypto,0.07980823516845703,0.18944883346557617,0.016896486282348633,4.911564826965332,0.6703414916992188
findmybusiness.crypto,0.12506318092346191,0.05171704292297363,0.0144195556640625,0.1850876808166504,0.3101937770843506
caspers.crypto,0.12906527519226074,0.04934406280517578,0.02418041229248047,0.4486665725708008,0.36112046241760254
bangkokproperty.crypto,0.14834880828857422,0.04845070838928223,0.017341136932373047,0.46691060066223145,0.45778775215148926
cicada3301.crypto,0.08826065063476562,0.05618929862976074,0.02340078353881836,0.5157120227813721,0.34433722496032715
thebasics.crypto,0.12728595733642578,0.05830812454223633,0.017241477966308594,0.4460017681121826,1.5498287677764893
helpthehomeless.crypto,0.0761713981628418,0.045382022857666016,0.021272659301757812,0.07711482048034668,0.5641951560974121
cryptony.crypto,0.12134933471679688,0.049829721450805664,0.015153169631958008,0.37592411041259766,0.34894847869873047
debitcard.crypto,0.07671618461608887,0.04598879814147949,0.01862335205078125,0.5363025665283203,0.6617693901062012
unicadesign.crypto,0.10977816581726074,0.051793575286865234,0.021570920944213867,0.16513967514038086,0.8406069278717041
dwighteisenhower.crypto,0.14545798301696777,0.04834103584289551,0.025073766708374023,0.18176722526550293,0.45016908645629883
financialfreedom.crypto,0.14000535011291504,0.05378460884094238,0.01587390899658203,0.17176437377929688,0.46099185943603516
niagara.crypto,0.12815141677856445,0.04947471618652344,0.02133631706237793,0.9112935066223145,0.6726109981536865
maxosiris.crypto,0.08037829399108887,0.04629397392272949,0.023302316665649414,0.510500431060791,-1
refugees.crypto,0.10655355453491211,0.050752878189086914,0.023258686065673828,0.3817722797393799,0.6656322479248047
bitcoin-sv.crypto,0.08016419410705566,0.046900272369384766,0.01689457893371582,0.3935275077819824,0.34837961196899414
millenialmoney.crypto,0.14825797080993652,0.10728979110717773,0.016293764114379883,0.6577706336975098,1.2509891986846924
cryptocomm.crypto,0.08346199989318848,0.04777646064758301,0.02277970314025879,1.8524634838104248,1.2601306438446045
blackcrowx.crypto,0.1382429599761963,0.04819321632385254,0.02456521987915039,0.4660978317260742,0.45700740814208984
defibridge.crypto,0.10332727432250977,0.04893636703491211,0.02809596061706543,0.20705246925354004,0.15650486946105957
ghost-in-the-shell.crypto,0.14240479469299316,0.35746288299560547,0.023956298828125,0.28980183601379395,0.6740057468414307
pkjensen.crypto,0.10206890106201172,0.04795241355895996,0.020351409912109375,0.5441064834594727,0.3458070755004883
sendtyrent.crypto,0.14552879333496094,0.049045562744140625,0.018291950225830078,0.45909595489501953,0.6919033527374268
arachnitech.crypto,0.20398187637329102,0.050302982330322266,0.020094633102416992,0.45726871490478516,6.0557780265808105
ppfbanka.crypto,0.1457366943359375,0.048236846923828125,0.017726898193359375,0.553192138671875,0.46126222610473633
concertgebouw.crypto,0.1384725570678711,0.04705405235290527,0.032881736755371094,0.576885461807251,0.4470820426940918
konzerthaus.crypto,0.09171080589294434,0.04984641075134277,0.016104936599731445,0.6547582149505615,0.4508211612701416
musikverein.crypto,0.14327597618103027,0.053540945053100586,0.017314910888671875,0.6055748462677002,0.45360684394836426
ppfinsurance.crypto,0.13094401359558105,0.04612088203430176,0.015529632568359375,0.5714466571807861,0.45041537284851074
pininfarina.crypto,0.14074921607971191,0.04633593559265137,0.0507969856262207,0.515251874923706,0.45232152938842773
puritalia.crypto,0.07964825630187988,0.04852485656738281,0.016170740127563477,0.7408668994903564,0.45119547843933105
thehelix.crypto,0.13370394706726074,0.051488399505615234,0.02532196044921875,0.5677263736724854,0.44911623001098633
ppfarena1.crypto,0.49662041664123535,0.04843401908874512,0.015267133712768555,0.5250284671783447,0.3540630340576172
hispanosuizacars.crypto,0.09402775764465332,0.04545259475708008,0.025130033493041992,0.660219669342041,0.4531972408294678
protest.crypto,0.1003870964050293,0.04902791976928711,0.015680313110351562,0.4479405879974365,0.5688135623931885
valgardena.crypto,0.14048075675964355,0.053716421127319336,0.02452397346496582,0.5990328788757324,0.4510207176208496
newbitcon.crypto,0.15111160278320312,0.05216836929321289,0.016579151153564453,0.4609537124633789,0.4578111171722412
ppfrealestate.crypto,0.12717103958129883,0.049538373947143555,0.014657735824584961,0.5185892581939697,0.44943976402282715
cerebrum.crypto,0.10604310035705566,0.0475468635559082,0.03063035011291504,0.4324498176574707,0.4535377025604248
lasvegasnv.crypto,0.0817723274230957,0.05130147933959961,0.026515722274780273,0.46254515647888184,1.223048448562622
airtravel.crypto,0.15057826042175293,0.04796123504638672,0.03944540023803711,0.5304019451141357,1.0142312049865723
bestwine.crypto,0.13872456550598145,0.05334734916687012,0.025432586669921875,0.435227632522583,0.4708225727081299
litecoinprice.crypto,0.141585111618042,0.04790806770324707,0.022661924362182617,0.522172212600708,1.472628116607666
luxurymotors.crypto,0.08638238906860352,0.047528982162475586,0.02065873146057129,0.6107578277587891,0.4649357795715332
digitalart.crypto,0.1395418643951416,0.04729032516479492,0.017500638961791992,-1,-1
cryptocap.crypto,0.13723039627075195,0.05858755111694336,0.025702238082885742,0.5223190784454346,3.361593246459961
mygiftcards.crypto,0.14116454124450684,0.048377275466918945,0.02621936798095703,0.43425917625427246,0.598362922668457
bailbonds.crypto,0.1469435691833496,0.0508882999420166,0.024194002151489258,1.100285291671753,1.0219361782073975
destinflorida.crypto,0.09758853912353516,0.056647539138793945,0.017372608184814453,0.49126458168029785,0.9223780632019043
insurancequotes.crypto,0.14089035987854004,0.05182003974914551,0.04089522361755371,0.47709178924560547,0.4824709892272949
hotelsnearme.crypto,0.14179062843322754,0.04678702354431152,0.04778623580932617,0.435793399810791,0.35434627532958984
blockchainvoting.crypto,0.0915067195892334,0.0492558479309082,0.015416622161865234,0.44065356254577637,0.5690402984619141
lectures.crypto,0.15829181671142578,0.051503896713256836,0.02191925048828125,0.4365706443786621,1.2139241695404053
canvasart.crypto,0.15127825736999512,0.05002284049987793,0.015221357345581055,0.43474912643432617,0.5603246688842773
myrtlebeachsc.crypto,0.08601546287536621,0.04406595230102539,0.02538132667541504,0.5507128238677979,0.5695102214813232
energytrade.crypto,0.13008427619934082,0.05078530311584473,0.03092503547668457,0.5052413940429688,0.5665361881256104
ameliaisland.crypto,0.1195218563079834,0.09519171714782715,0.026790142059326172,0.5664904117584229,0.9720137119293213
miamibeach.crypto,0.13046836853027344,0.04739665985107422,0.015561103820800781,0.5640642642974854,0.5644490718841553
nightsky.crypto,0.07954144477844238,0.04790544509887695,0.0345306396484375,0.41832518577575684,1.0063259601593018
basketballcoins.crypto,0.12485837936401367,0.049761295318603516,0.026423215866088867,0.4317004680633545,0.5654182434082031
pensacolaflorida.crypto,0.12932658195495605,0.0531153678894043,0.03201103210449219,0.43490123748779297,1.0292842388153076
carleasing.crypto,0.08427262306213379,0.045058488845825195,0.025307416915893555,0.41402101516723633,1.0049116611480713
lasvegasshows.crypto,0.08144378662109375,0.047690391540527344,0.02398061752319336,0.43012213706970215,0.6610395908355713
cognacs.crypto,0.13388824462890625,0.04756784439086914,0.015082836151123047,0.4255411624908447,1.0054857730865479
onlineuniversities.crypto,0.18506288528442383,0.07665228843688965,0.05213618278503418,0.5896050930023193,0.5642011165618896
brooklynnewyork.crypto,0.08803129196166992,0.047369956970214844,0.015180110931396484,0.44602084159851074,1.0098235607147217
uppereastside.crypto,0.14052867889404297,0.052504539489746094,0.028046369552612305,0.44364452362060547,1.0437333583831787
footbul.crypto,0.12100696563720703,0.05250954627990723,0.021608829498291016,0.6134538650512695,0.7921099662780762
musicstream.crypto,0.15734648704528809,0.11617708206176758,0.04556584358215332,1.0438003540039062,0.5660769939422607
luxuryhome.crypto,0.1340188980102539,0.053741455078125,0.023964405059814453,0.4156179428100586,0.5685949325561523
baseballcoins.crypto,0.15337514877319336,0.04848527908325195,0.032730817794799805,0.4154033660888672,0.5747487545013428
malibuwines.crypto,0.13954591751098633,0.046663761138916016,0.033686161041259766,0.4700286388397217,0.5625169277191162
uplymedia.crypto,0.08203268051147461,0.05435061454772949,0.015251398086547852,0.6204569339752197,0.54701828956604
myrtlebeachhotels.crypto,0.14297795295715332,0.04967141151428223,0.024883747100830078,0.4459860324859619,0.5595676898956299
queensnewyork.crypto,0.12645697593688965,0.04779553413391113,0.0167081356048584,0.416898250579834,0.5638165473937988
calabasas.crypto,0.0911872386932373,0.050662994384765625,0.014743566513061523,0.5503702163696289,2.712716817855835
bestcoffee.crypto,0.16286230087280273,0.055665016174316406,0.02289104461669922,0.5034017562866211,0.671238899230957
amagansett.crypto,0.11116862297058105,0.04511713981628418,0.02237558364868164,0.4230682849884033,1.0183074474334717
moviestudio.crypto,0.13660287857055664,0.05076265335083008,0.029221057891845703,0.4466550350189209,1.3381516933441162
sportsbets.crypto,0.07705497741699219,0.0462796688079834,0.020701885223388672,0.49658966064453125,-1
alpharettaga.crypto,0.18402528762817383,0.048623085021972656,0.04442191123962402,0.4228506088256836,0.563823938369751
saffron.crypto,0.1392965316772461,0.1605525016784668,0.03326678276062012,0.43250250816345215,1.6716704368591309
zumabeach.crypto,0.1277778148651123,0.09280204772949219,0.023924589157104492,0.4016103744506836,0.4599168300628662
alpharetta.crypto,0.1327345371246338,0.04686617851257324,0.02316904067993164,0.45200562477111816,0.4707832336425781
mortgagecalculators.crypto,0.12577319145202637,0.04841256141662598,0.024226903915405273,0.46607518196105957,1.1203093528747559
holmbyhills.crypto,0.10168981552124023,0.05036330223083496,0.04648733139038086,0.4364135265350342,0.35170483589172363
recalls.crypto,0.09421920776367188,0.047240257263183594,0.02382946014404297,0.4672112464904785,1.1208600997924805
riesling.crypto,0.0797579288482666,0.04831671714782715,0.02148747444152832,0.4363415241241455,1.0131661891937256
soliris.crypto,0.14595937728881836,0.05318093299865723,0.035079002380371094,0.4479532241821289,0.8369560241699219
tequilas.crypto,0.14640426635742188,0.049738168716430664,0.044013023376464844,0.42912721633911133,1.0360126495361328
cocoabeach.crypto,0.14841294288635254,0.04838681221008301,0.022788286209106445,0.46712231636047363,0.5619041919708252
crytpomula.crypto,0.13335227966308594,0.04803299903869629,0.026429414749145508,0.4627053737640381,1.6960792541503906
asiandatingsocial.crypto,0.11062741279602051,0.045487165451049805,0.022780656814575195,0.4276394844055176,1.8893134593963623
blockengine.crypto,0.1325702667236328,0.048625946044921875,0.016864776611328125,0.43038153648376465,1.2495050430297852
cutecats.crypto,0.08285117149353027,0.06578850746154785,0.04976081848144531,0.47068071365356445,1.0235364437103271
mrcryptoboss.crypto,0.14911389350891113,0.04812049865722656,0.021857738494873047,0.5239865779876709,0.448042631149292
berkluver.crypto,0.12845897674560547,0.049170732498168945,0.016074657440185547,0.43024134635925293,0.6783998012542725
ethereumprice.crypto,0.14069795608520508,0.05030345916748047,0.022968769073486328,-1,2.0591862201690674
hypothesis.crypto,0.13581013679504395,0.05032086372375488,0.016297340393066406,0.48197412490844727,-1
luxurysafaris.crypto,0.13776183128356934,0.11356592178344727,0.017067670822143555,9.062427520751953,0.89180588722229
chongwl.crypto,0.1458735466003418,0.0505833625793457,0.02367091178894043,0.4293084144592285,5.372426271438599
unstoppabledomainslist.crypto,0.13374543190002441,0.0483393669128418,0.024668455123901367,0.4212772846221924,0.5678086280822754
jobchain.crypto,0.12699484825134277,0.04644775390625,0.05792355537414551,0.22695136070251465,9.867003679275513
combination.crypto,0.1304020881652832,0.05171608924865723,0.039810895919799805,0.41324710845947266,0.45699596405029297
abeking.crypto,0.14760541915893555,0.0486295223236084,0.026501178741455078,0.5335965156555176,0.44749999046325684
avid.crypto,0.4387526512145996,0.04561161994934082,0.030632972717285156,0.5851914882659912,0.45151567459106445
cedevita.crypto,0.14835548400878906,0.04726862907409668,0.024927616119384766,0.5326082706451416,0.4477546215057373
postojnska-jama.crypto,0.15453147888183594,0.05392956733703613,0.04152536392211914,0.6053032875061035,0.4520556926727295
quadrofoil.crypto,0.08730411529541016,0.04945826530456543,0.02886962890625,0.5740261077880859,0.3406100273132324
outfit7.crypto,0.12792134284973145,0.046181440353393555,0.0349886417388916,0.5358285903930664,0.45345258712768555
properwhiskey.crypto,0.13614749908447266,0.054036855697631836,0.03915977478027344,0.5349395275115967,0.3781886100769043
silversea.crypto,0.13303089141845703,0.047489166259765625,0.031088590621948242,0.5295009613037109,0.4466860294342041
quantumai.crypto,0.13399147987365723,0.1397101879119873,0.014432668685913086,0.5179975032806396,0.45084500312805176
triglav.crypto,0.12416458129882812,0.05178380012512207,0.04010796546936035,0.5465888977050781,0.4457557201385498
vr46.crypto,0.11903786659240723,0.05037951469421387,0.03346395492553711,0.5259087085723877,0.269925594329834
radenska.crypto,0.15929698944091797,0.047431230545043945,0.03385019302368164,0.6337389945983887,0.481825590133667
talkingtomandfriends.crypto,0.0765218734741211,0.06298089027404785,0.025664329528808594,0.5001978874206543,0.4454193115234375
amels-holland.crypto,0.13884687423706055,0.05343341827392578,0.05331063270568848,0.5225527286529541,0.4510056972503662
azimutyachts.crypto,0.14216041564941406,0.05239462852478027,0.022121429443359375,0.5461997985839844,0.4507260322570801
arri.crypto,0.1324162483215332,0.04309415817260742,0.04231977462768555,0.546339750289917,0.4953010082244873
generali-investments.crypto,0.08749628067016602,0.04662203788757324,0.05044078826904297,0.5310511589050293,0.44997215270996094
geoplin.crypto,0.13013172149658203,0.04743003845214844,0.02457904815673828,0.520848274230957,0.4520082473754883
futureflow.crypto,0.1291515827178955,0.05060267448425293,0.022132396697998047,0.5747885704040527,0.4522271156311035
dars.crypto,0.1314845085144043,0.04982638359069824,0.02311396598815918,0.803490161895752,0.45068860054016113
eles.crypto,0.1253528594970703,0.04847574234008789,0.04625201225280762,0.6515123844146729,0.4532761573791504
